periode_data,periode_pemantauan,bulan_sampling,titik_sampel,nama_sungai,alamat,latitude,longitude,jenis_parameter,parameter,baku_mutu,hasil_pengukuran
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Cu,0.02,0.04
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Pb,0.03,0.009
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Cr6,0.05,0.008
2024,"Periode 4",10,"MKV 3",Mookervart,"Jembatan Semanan",-6.156923,106.70503,Biologi,"Fecal Coliform",1000,11000000
2024,"Periode 4",10,"MKV 3",Mookervart,"Jembatan Semanan",-6.156923,106.70503,Fisika,Warna,50,58
2024,"Periode 4",10,"MKV 3",Mookervart,"Jembatan Semanan",-6.156923,106.70503,Kimia,Sulfat,300,31.7
2024,"Periode 4",10,"MKV 3",Mookervart,"Jembatan Semanan",-6.156923,106.70503,Kimia,Klorida,300,64.29
2024,"Periode 4",10,"MKV 3",Mookervart,"Jembatan Semanan",-6.156923,106.70503,Kimia,Amoniak,0.2,9.4
2024,"Periode 4",10,"MKV 3",Mookervart,"Jembatan Semanan",-6.156923,106.70503,Kimia,"Total N",15,19.72
2024,"Periode 4",10,"MKV 3",Mookervart,"Jembatan Semanan",-6.156923,106.70503,Kimia,Ni,0.05,0.02
2024,"Periode 4",10,"MKV 3",Mookervart,"Jembatan Semanan",-6.156923,106.70503,Kimia,Sianida,0.02,0.025
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Fisika,TDS,1000,328
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Fisika,TSS,50,43
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,pH,6.9,7.22
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,BOD,3,40.75
